PERIODO,ESTU_CONSECUTIVO,ESTU_TIPODOCUMENTO,ESTU_PAIS_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_MCPIO,ESTU_MCPIO_RESIDE,ESTU_CODDANE_COLE_TERMINO,ESTU_COD_COLE_MCPIO_TERMINO,ESTU_COD_DEPTO_PRESENTACION,INST_COD_INSTITUCION,INST_NOMBRE_INSTITUCION,INST_CARACTER_ACADEMICO,ESTU_NUCLEO_PREGRADO,ESTU_INST_DEPARTAMENTO,ESTU_INST_CODMUNICIPIO,ESTU_INST_MUNICIPIO,ESTU_PRGM_ACADEMICO,ESTU_PRGM_DEPARTAMENTO,ESTU_PRGM_CODMUNICIPIO,ESTU_PRGM_MUNICIPIO,ESTU_NIVEL_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_DEPTO_PRESENTACION,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_HORASSEMANATRABAJA,ESTU_SNIES_PRGMACADEMICO,ESTU_PRIVADO_LIBERTAD,ESTU_NACIONALIDAD,ESTU_ESTUDIANTE,ESTU_GENERO,ESTU_COLE_TERMINO,ESTU_PAGOMATRICULAPADRES,ESTU_ESTADOINVESTIGACION,ESTU_FECHANACIMIENTO,ESTU_PAGOMATRICULAPROPIO,ESTU_TIPODOCUMENTOSB11,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,INST_ORIGEN,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_COMUNI_ESCRITA_DESEM,MOD_INGLES_DESEM,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
20203,EK202030158412,CC,COLOMBIA,05,ANTIOQUIA,05088,BELLO,105088000877,05088,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA DE PRODUCTIVIDAD Y CALIDAD,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,BOGOTÁ,11001,BOGOTÁ D.C.,No,No,Más de 30 horas,2937,N,COLOMBIA,ESTUDIANTE,M,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,Si,PUBLICAR,04/01/1993,No,TI,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,122,129,2,A1,121,137,128
20203,EK202030140061,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,EDUCACIÓN,ANTIOQUIA,05001,MEDELLÍN,"LICENCIATURA EN EDUCACION BASICA ENFASIS EN EDUCACION FISICA, RECREACION Y DEPORTE",ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Menos de 500 mil,BOGOTÁ,11001,BOGOTÁ D.C.,No,Si,Entre 11 y 20 horas,3801,N,COLOMBIA,ESTUDIANTE,F,,No,PUBLICAR,08/07/1998,No,TI,Técnica o tecnológica completa,Si,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,173,135,2,A2,206,149,169
20212,EK202120272555,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,105129000534,05129,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,CONTADURÍA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,CONTADURIA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,BOGOTÁ,11001,BOGOTÁ D.C.,No,No,Más de 30 horas,2540,N,COLOMBIA,ESTUDIANTE,M,LICEO PEDRO LUIS ALVAREZ C,No,PUBLICAR,16/05/1995,Si,TI,Secundaria (Bachillerato) completa,Si,Si,Estrato 4,Si,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,177,300,4,A2,153,139,152
20212,EK202120269755,CC,COLOMBIA,05,ANTIOQUIA,05360,ITAGÜÍ,105360001098,05360,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,CONTADURÍA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,CONTADURIA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,BOGOTÁ,11001,BOGOTÁ D.C.,No,No,Más de 30 horas,2540,N,COLOMBIA,ESTUDIANTE,F,INSTITUCION EDUCATIVA SIMON BOLIVAR,No,PUBLICAR,07/12/1999,Si,TI,Técnica o tecnológica completa,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,139,165,3,B1,146,173,136
20212,EK202120268493,CC,COLOMBIA,05,ANTIOQUIA,05360,ITAGÜÍ,,,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,CONTADURÍA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,CONTADURIA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,BOGOTÁ,11001,BOGOTÁ D.C.,No,Si,Más de 30 horas,2540,N,COLOMBIA,ESTUDIANTE,M,,No,PUBLICAR,10/05/1997,Si,TI,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,Si,Si,Primaria incompleta,OFICIAL DEPARTAMENTAL,171,107,1,A2,150,134,141
20212,EK202120244484,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,105001013340,05001,11,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA DE PRODUCTIVIDAD Y CALIDAD,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,BOGOTÁ,11001,BOGOTÁ D.C.,No,No,Más de 30 horas,2937,N,COLOMBIA,ESTUDIANTE,M,INST EDUC INEM JOSE FELIX DE RESTREPO,No,PUBLICAR,03/01/1999,Si,TI,Primaria incompleta,No,Si,Estrato 2,No,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,105,172,3,A2,138,121,176
20183,EK201830242109,CC,COLOMBIA,05,ANTIOQUIA,05266,ENVIGADO,105266000452,05266,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,CONTADURÍA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,CONTADURIA PUBLICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05631,SABANETA,No,No,Entre 21 y 30 horas,2540,N,COLOMBIA,ESTUDIANTE,M,INSTITUCION EDUCATIVA LA PAZ,Si,PUBLICAR,02/12/1996,Si,TI,Secundaria (Bachillerato) incompleta,No,Si,Estrato 5,No,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,125,147,2,-A1,152,105,86
20183,EK201830209123,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,305001017361,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,EDUCACIÓN,ANTIOQUIA,05001,MEDELLÍN,"LICENCIATURA EN EDUCACION BASICA ENFASIS EN EDUCACION FISICA, RECREACION Y DEPORTE",ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Entre 11 y 20 horas,3801,N,COLOMBIA,ESTUDIANTE,M,CENT DE DESARROLLO INTEGRADO - CENDI,No,PUBLICAR,24/07/1983,Si,CC,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Técnica o tecnológica incompleta,OFICIAL DEPARTAMENTAL,159,118,2,A1,129,127,143
20183,EK201830019046,CC,COLOMBIA,05,ANTIOQUIA,05266,ENVIGADO,105266000452,05266,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA DE PRODUCTIVIDAD Y CALIDAD,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05631,SABANETA,No,No,0,2937,N,COLOMBIA,ESTUDIANTE,M,INSTITUCION EDUCATIVA LA PAZ,Si,PUBLICAR,11/07/1996,No,TI,Educación profesional completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,156,129,2,B1,139,180,155
20183,EK201830242292,CC,COLOMBIA,05,ANTIOQUIA,05088,BELLO,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES",ANTIOQUIA,05001,MEDELLÍN,COMUNICACION AUDIOVISUAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05088,BELLO,No,No,Menos de 10 horas,55167,N,COLOMBIA,ESTUDIANTE,M,,Si,PUBLICAR,30/03/1996,Si,TI,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,179,191,4,B1,183,199,190
20183,EK201830086982,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"DEPORTES, EDUCACIÓN FÍSICA Y RECREACIÓN",ANTIOQUIA,05001,MEDELLÍN,PROFESIONAL EN DEPORTE,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,Si,Entre 21 y 30 horas,3729,N,COLOMBIA,ESTUDIANTE,M,,No,PUBLICAR,10/02/1995,No,TI,Educación profesional completa,No,Si,Estrato 3,Si,Si,Educación profesional completa,OFICIAL DEPARTAMENTAL,184,83,1,B1,185,197,171
20183,EK201830233020,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,168001001921,68001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES",ANTIOQUIA,05001,MEDELLÍN,COMUNICACION AUDIOVISUAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Más de 30 horas,55167,N,COLOMBIA,ESTUDIANTE,M,SEDE A: INSTITUCIÓN EDUCATIVA TÉCNICO DÁMASO ZAPATA,Si,PUBLICAR,23/12/1996,Si,CC,Secundaria (Bachillerato) incompleta,No,Si,Estrato 4,Si,Si,Técnica o tecnológica incompleta,OFICIAL DEPARTAMENTAL,167,159,3,A2,166,164,101
20183,EK201830077824,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA DE PRODUCTIVIDAD Y CALIDAD,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Más de 30 horas,2937,N,COLOMBIA,ESTUDIANTE,F,,No,PUBLICAR,28/09/1982,Si,TI,Primaria incompleta,No,Si,Estrato 1,Si,Si,Primaria incompleta,OFICIAL DEPARTAMENTAL,136,,,A1,153,135,139
20183,EK201830112620,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"DEPORTES, EDUCACIÓN FÍSICA Y RECREACIÓN",ANTIOQUIA,05001,MEDELLÍN,PROFESIONAL EN DEPORTE,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05360,ITAGÜÍ,No,No,Más de 30 horas,3729,N,COLOMBIA,ESTUDIANTE,M,,Si,PUBLICAR,16/06/1994,Si,TI,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,157,82,1,A1,152,131,179
20195,EK201950202920,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,305001004986,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA DE PRODUCTIVIDAD Y CALIDAD,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Entre 11 y 20 horas,2937,N,COLOMBIA,ESTUDIANTE,F,9703,Si,PUBLICAR,30/11/1996,No,TI,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,152,111,1,B2,113,208,192
20195,EK201950217011,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,305001004986,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES",ANTIOQUIA,05001,MEDELLÍN,COMUNICACION AUDIOVISUAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Más de 30 horas,55167,N,COLOMBIA,ESTUDIANTE,F,9703,Si,PUBLICAR,11/10/1994,No,CC,Secundaria (Bachillerato) completa,No,Si,Estrato 5,Si,Si,Técnica o tecnológica incompleta,OFICIAL DEPARTAMENTAL,142,141,2,B1,179,190,188
20195,EK201950182438,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,123182000013,23182,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA CIVIL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA CIVIL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Más de 30 horas,3689,N,COLOMBIA,ESTUDIANTE,M,2555,No,PUBLICAR,31/12/1981,Si,CC,Primaria completa,No,Si,Estrato 3,No,Si,Primaria completa,OFICIAL DEPARTAMENTAL,118,100,1,-A1,102,91,99
20195,EK201950215451,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,105001006092,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA CIVIL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA CIVIL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,Si,No,Más de 30 horas,3689,N,COLOMBIA,ESTUDIANTE,M,23457,No,PUBLICAR,10/11/1992,Si,TI,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,172,136,2,B2,143,201,145
